"id","title","theme","capital","multicapital","location","expected_amount","collected_amount","engaged_number","platform","platform_type","status","any_date","year","start_date","end_date"
"https://na-starte.com/project/koligva212212212212/","Колихва","Дизайн","Культурний","False","Київ",30000,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2014",2014,"","2014-01-01"
"https://na-starte.com/project/putamark-vizualnyi-i-statisticheskii-katalog-veb-resursov170170170170170/","Putamark - визуальный и статистический каталог веб","Технології","Інфраструктурний","False","Запоріжжя",30000,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2014",2014,"","2014-01-01"
"https://na-starte.com/project/geekslab-hackathon-10-e-government-cityprojects165165165165/","GeeksLab Hackathon 1.0: E-Government/CityProjects","Технології","Інфраструктурний","False","Одеса",30000,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2014",2014,"","2014-01-01"
"https://gb.kyivcity.gov.ua/projects/archive/1/show/195","Популяризація «Сирецького дендрологічного парку»","Культура, туризм","Культурний","","Київ",30600,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://melitopol-online.gov.ua/projects/archive/76/show/89","«Яскраве сяйво » по вулиці Героїв Сталінграда будинок13","Енергозбереження","Інфраструктурний","","Мелітополь",30775,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2018",2018,"","2018-01-01"
"http://bu.mvk.if.ua/projects2017/2405","Івано-Франківськ - місто дружнє до дітей","","Людський","False","Івано-Франківськ",30900,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","12.06.2017",2017,"2017-06-12",""
"https://na-starte.com/project/sxc-kompaktnyy-opredelitel-tsveta/","S.X.C — компактный определитель цвета","Технології","Інфраструктурний","False","Запоріжжя",31000,0,0,"na-starte","Краудфандинг","Неуспішний","01.01.2018",2018,"","2018-01-01"
"https://mg.od.ua/projects/sistemnoe-privlechenie-grantov-v-odessu","Системное привлечение иностранных грантов на городские проекты","Экономика","Інфраструктурний","True","Одеса",35000,0,0,"Мой город","Краудфандинг","Неуспішний","14.01.2016",2016,"","2016-01-14"
"https://berdiansk.pb.org.ua/projects/archive/83/show/675","Озеленення","Навколишнє середовище","Інфраструктурний","","Бердянськ",37620,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://chernihiv.pb.org.ua/projects/archive/3/show/49","Встановлення світлофору по вул. Кільцевій біля ЗАЗу","Дорожньо-транспортна інфраструктура","Інфраструктурний","","Чернігів",39340,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2017",2017,"","2017-01-01"
"https://melitopol-online.gov.ua/projects/archive/70/show/541","Вуличне фортепіано в інтеркультурному колориті","Культура","Культурний","","Мелітополь",39456,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://gb.kr.gov.ua/projects/archive/11/show/38","З турботою про кожного","Соціальний захист","Соціальний","","Кривий Ріг",39600,39600,0,"gb.gov.ua","Громадський бюджет","Успішний","01.01.2017",2017,"","2017-01-01"
"http://bu.mvk.if.ua/projects2016/223","Створення WI-FI мережі у СШ №11","","Інфраструктурний","False","Івано-Франківськ",40000,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","13.05.2016",2016,"2016-05-13",""
"https://ubb.org.ua/uk/project/331/","Почуйте нас серцем","КУЛЬТУРА ТА СПОРТ","Соціальний","False","м. Сімферополь",40000,40000,0,"UBB","Краудфандинг","Успішний","04.04.2012",2012,"2012-04-04",""
"https://melitopol-online.gov.ua/projects/archive/76/show/58","Художня студія для дітей та дорослих","Культура","Культурний","","Мелітополь",40000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2018",2018,"","2018-01-01"
"https://gb.kyivcity.gov.ua/projects/archive/1/show/22","Зупинка міської електрички ""Русанівка""","Дороги, транспорт","Інфраструктурний","","Київ",40000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://gb.city.cv.ua/projects/archive/81/show/126","На крилах ластівки","Культура","Культурний","","Чернівці",40740,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://gp.khm.gov.ua/projects/21","Обмін досвідом фахівців Центру реабілітації ""Родинний затишок""","Соціальний захист","Соціальний","","Хмельницький",41560,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2019",2019,"","2019-01-01"
"https://gb.kyivcity.gov.ua/projects/archive/1/show/229","Встановлення шлагбаум для безпеки мешканців двору","Безпека","Інфраструктурний","","Київ",42606,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://gp.khm.gov.ua/projects/archive/208/show/15","Оснащення спортивної зали ХДНЗ  №10 ""Веселка"" новим ігромим та навчально-дидактичним обладнанням","Освіта","Людський","","Хмельницький",43477,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2018",2018,"","2018-01-01"
"https://melitopol-online.gov.ua/projects/archive/71/show/82","«Дбаємо про майбутнє!»","Освіта","Людський","","Мелітополь",44083,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2017",2017,"","2017-01-01"
"http://bu.mvk.if.ua/projects2016/239","Незвіданий Станіслав","","Культурний","False","Івано-Франківськ",45000,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","14.05.2016",2016,"2016-05-14",""
"http://bu.mvk.if.ua/projects2018/10665","Відкритий кубок Івано-Франківська з тенісу для фізично-неповносправних 2018","","Інфраструктурний","False","Івано-Франківськ",45000,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","28.04.2018",2018,"2018-04-28",""
"https://adm.dniprorada.gov.ua/projects/2","прекрасный проект","Безпека та громадський порядок","Інфраструктурний","False","",999999,0,0,"adm.dniprorada.gov.ua/ (gb)","Громадський бюджет","Неуспішний","",NA,"",""
"https://gb.kyivcity.gov.ua/projects/archive/1/show/228","Транспортна розв`язка ""Дружби народів"" для блондинок","Дороги, транспорт","Інфраструктурний","","Київ",45000,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2016",2016,"","2016-01-01"
"https://gp.khm.gov.ua/projects/archive/208/show/82","Оснащення музичної зали мультимедійною системою та звуковим обладнанням","Освіта","Людський","","Хмельницький",45160,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2018",2018,"","2018-01-01"
"http://bu.mvk.if.ua/projects2017/2422","Наметове містечко для проведення таборів молоді міста Івано-Франківська","","Людський","False","Івано-Франківськ",47600,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","12.06.2017",2017,"2017-06-12",""
"https://gb.kr.gov.ua/projects/archive/10/show/20","Впровадження енергозберігаючих заходів ""Теплий будинок""","Енергозбереження","Інфраструктурний","","Кривий Ріг",48600,48600,0,"gb.gov.ua","Громадський бюджет","Успішний","01.01.2017",2017,"","2017-01-01"
"http://bu.mvk.if.ua/projects2016/200","Капітальний ремонт фасадів та відмостки","","Інфраструктурний","False","Івано-Франківськ",48604,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","13.05.2016",2016,"2016-05-13",""
"https://gp.khm.gov.ua/projects/archive/208/show/7","Мультимедійна система – складова сучасного освітнього простору закладу дошкільної освіти №23","Освіта","Людський","","Хмельницький",48637,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2018",2018,"","2018-01-01"
"https://gp.khm.gov.ua/projects/archive/208/show/25","LEGO-технології в дитячому садку: освітній простір для розвитку дитини","Освіта","Людський","","Хмельницький",48700,0,0,"gb.gov.ua","Громадський бюджет","Неуспішний","01.01.2018",2018,"","2018-01-01"
"http://bu.mvk.if.ua/projects2017/2415","Облаштування двору житлового будинку","","Інфраструктурний","False","Івано-Франківськ",49000,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","12.06.2017",2017,"2017-06-12",""
"http://bu.mvk.if.ua/projects2018/10585","Сучасний освітній простір у стилі Нової української школи","","Інфраструктурний","False","Івано-Франківськ",49161,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","27.04.2018",2018,"2018-04-27",""
"http://bu.mvk.if.ua/projects2016/199","Капітальний ремонт сходової клітки, дашка та вхідних дверей","","Інфраструктурний","False","Івано-Франківськ",49304,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","13.05.2016",2016,"2016-05-13",""
"http://bu.mvk.if.ua/projects2016/198","Капітальний ремонт санвузлів школи","","Інфраструктурний","False","Івано-Франківськ",50000,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","13.05.2016",2016,"2016-05-13",""
"http://bu.mvk.if.ua/projects2016/226","Поточний ремонт покрівлі","","Інфраструктурний","False","Івано-Франківськ",50000,0,0,"Івано-Франківська міська рада (bu.mvk.if.ua)","Громадський бюджет","Неуспішний","13.05.2016",2016,"2016-05-13",""
